CompanyID,LegalName,TradeName,Founded,Founders,Headquarters,CurrentCEO,Sector,SubSector,FY2023Revenue_B_USD,Employees_2023,AcquisitionTargetID,AcquisitionTargetName,AcquisitionYear,AcquisitionValue_B_USD,StrategicInvestmentID,InvestmentTargetName,InvestmentAmountB_USD,PartnerCompanyID,PartnerName,PartnershipDomain,FlagshipProduct,CoreTechnology,StockTicker,Exchange,MarketCap_B_USD_2024,ParentEntityID,RnDSpend_B_USD,PatentsHeld,OperatingSegment
C001,Apple Inc.,Apple,1976,Steve Jobs|Steve Wozniak|Ronald Wayne,Cupertino CA USA,Timothy D. Cook,Information Technology,Consumer Electronics & Software,394.3,164000,C021,Beats Electronics,2014,3.0,C030,Arm Holdings,0.3,C002,Microsoft,Azure OpenAI Cloud,iPhone|Mac|iPad|Apple Silicon|Apple Watch,Custom Silicon (M-series)|iOS|macOS,AAPL,NASDAQ,2850,None,29.9,72000,Services|Mac|iPhone|iPad|Wearables
C002,Microsoft Corporation,Microsoft,1975,William H. Gates III|Paul G. Allen,Redmond WA USA,Satya Nadella,Information Technology,Enterprise Software & Cloud,211.9,221000,C022,LinkedIn,2016,26.2,C023,OpenAI,13.0,C001,Apple,Ecosystem Integration,Windows|Azure|Microsoft 365|Copilot|Xbox,Cloud Infrastructure|AI|Productivity Software,MSFT,NASDAQ,3100,None,27.2,63000,Productivity & Business|Intelligent Cloud|Personal Computing
C003,Alphabet Inc.,Google,1998,Lawrence E. Page|Sergey Brin,Mountain View CA USA,Sundar Pichai,Information Technology,Internet Services & AI,307.4,182502,C024,YouTube,2006,1.65,C025,DeepMind (wholly owned),None,C004,Amazon,Ad Tech Measurement,Google Search|Android|Google Cloud Platform|Gemini|YouTube,Search|Advertising|AI|Cloud,GOOGL,NASDAQ,2200,None,45.4,52000,Google Services|Google Cloud|Other Bets
C004,Amazon.com Inc.,Amazon,1994,Jeffrey P. Bezos,Seattle WA USA,Andrew R. Jassy,Consumer Discretionary & IT,E-commerce & Cloud,574.8,1540000,C026,Whole Foods Market,2017,13.7,C027,Rivian Automotive,1.3,C003,Alphabet,Logistics & Last-Mile,AWS|Prime|Alexa|Kindle|Amazon Ads,Cloud Computing|Logistics Automation|AI,AMZN,NASDAQ,1900,None,85.6,None,AWS|North America|International
C005,Meta Platforms Inc.,Meta,2004,Mark E. Zuckerberg|Eduardo Saverin|Andrew McCollum|Dustin Moskovitz|Chris Hughes,Menlo Park CA USA,Mark E. Zuckerberg,Information Technology,Social Media & AR/VR,134.9,86000,C028,Instagram,2012,1.0,C029,EssilorLuxottica (Ray-Ban partnership),None,C006,NVIDIA,AI Accelerator Supply,Facebook|Instagram|WhatsApp|Threads|Meta AI|Ray-Ban Stories,Social Networking|AR/VR (Reality Labs)|Open-Source AI,META,NASDAQ,1300,None,40.3,None,Family of Apps|Reality Labs
C006,NVIDIA Corporation,NVIDIA,1993,Jen-Hsun Huang|Christopher A. Malachowsky|Curtis R. Priem,Santa Clara CA USA,Jen-Hsun Huang,Information Technology,Semiconductor Design,60.9,29600,C031,Mellanox Technologies,2020,6.9,C032,CoreWeave,None,C005,Meta,AI Infrastructure,GeForce RTX|A100|H100|H200|CUDA|NeMo,GPU Architecture|HPC|AI Accelerators|Interconnect (NVLink),NVDA,NASDAQ,3400,None,8.9,None,Data Center|Gaming|Professional Visualization|Automotive
C007,Tesla Inc.,Tesla,2003,Martin Eberhard|Marc Tarpenning|Elon R. Musk|JB Straubel|Ian Wright,Austin TX USA,Elon R. Musk,Consumer Discretionary,Electric Vehicles & Energy,97.7,140000,C033,SolarCity,2016,2.6,None,None,None,C006,NVIDIA,Drive Compute,Model S|Model 3|Model Y|Cybertruck|Powerwall|Megapack,EV Powertrain|FSD Neural Network|Battery Technology,TSLA,NASDAQ,700,None,4.7,None,Automotive|Energy Generation & Storage|Services
C008,Samsung Electronics Co. Ltd.,Samsung,1969,Lee Byung-chul,Suwon Gyeonggi-do South Korea,Jong-Hee (Hans) Han,Information Technology,Semiconductors & Consumer Electronics,244.2,267800,C034,Harman International,2017,8.0,C035,Seagate Technology,None,C009,TSMC,Foundry Competition,Galaxy S series|Galaxy Z Fold|Exynos SoC|QLED|NAND Flash|HBM3,DRAM|NAND|OLED|System LSI|Foundry,005930.KS,KRX,350,None,22.1,None,DX Division|DS Division|Harman
C009,Taiwan Semiconductor Manufacturing Company Ltd.,TSMC,1987,Chang Shang-Yi (Morris Chang),Hsinchu Taiwan,C.C. Wei,Information Technology,Contract Semiconductor Manufacturing,76.4,73000,None,None,None,None,None,None,C001|C003|C006|C018,Apple|Alphabet|NVIDIA|Qualcomm,Foundry,N3E|N4P|N5|CoWoS|SoIC|InFO,EUV Lithography|Advanced Packaging|Process Node Engineering,TSM,NYSE,700,None,6.5,None,Wafer Revenue (dominant segment)
C010,Alibaba Group Holding Ltd.,Alibaba,1999,Jack Ma (Yun Ma)|Joseph Tsai,Hangzhou Zhejiang China,Eddie Yongming Wu,Consumer Discretionary,E-commerce & Cloud,130.5,240000,C036,Lazada,2016,1.0,C037,Ant Group,None,C004,Amazon,Cross-border E-commerce,Taobao|Tmall|Alibaba Cloud|Cainiao|DingTalk,E-commerce Platform|Cloud (Alicloud)|Fintech,BABA,NYSE,210,None,3.5,None,China Commerce|International Commerce|Local Services|Cloud Intelligence|Digital Media
C011,OpenAI LP,OpenAI,2015,Samuel H. Altman|Gregory Brockman|Ilya Sutskever|Wojciech Zaremba|Elon R. Musk,San Francisco CA USA,Samuel H. Altman,Information Technology,AI Research & Products,3.4,1700,None,None,None,None,C002,Microsoft,Exclusive Cloud & Distribution,GPT-4o|ChatGPT|DALL-E 3|Sora|Codex|Whisper|o1,Large Language Models|Multimodal AI|RLHF|Safety Research,Private,Private,90,None,None,None,Consumer AI|Enterprise API|Research
C012,Anthropic PBC,Anthropic,2021,Dario Amodei|Daniela Amodei|Tom Brown|Chris Olah|Sam McCandlish|Jack Clark|Jared Kaplan,San Francisco CA USA,Dario Amodei,Information Technology,AI Safety Research,0.5,500,None,None,None,None,C003|C004,Alphabet|Amazon,Cloud Distribution,Claude 3.5 Sonnet|Claude 3 Opus|Claude Haiku|Constitutional AI,Safety-Focused LLM Training|Interpretability Research|Constitutional AI,Private,Private,18,None,None,None,AI Research|Enterprise API
C013,Google DeepMind,DeepMind,2010,Demis Hassabis|Shane Legg|Mustafa Suleyman,London UK,Demis Hassabis,Information Technology,AI Research,0,3500,None,None,None,None,None,None,None,C003,Alphabet (parent),AI Research Division,AlphaFold 2|Gemini Ultra|AlphaCode 2|AlphaGo|GNoME|Lyria,Reinforcement Learning|Protein Structure Prediction|Multimodal AI,N/A,N/A,None,C003,None,None,AI Research Division of Alphabet
C014,Mistral AI SAS,Mistral AI,2023,Arthur Mensch|Timothée Lacroix|Guillaume Lample,Paris France,Arthur Mensch,Information Technology,AI Research & Products,0.1,200,None,None,None,None,C003,Alphabet,Investment,Mistral 7B|Mixtral 8x7B|Mistral Large|Le Chat,Sparse MoE|Open-Weight LLMs|Efficient Inference,Private,Private,6,None,None,None,Open Models|Enterprise API
C015,Intel Corporation,Intel,1968,Robert N. Noyce|Gordon E. Moore,Santa Clara CA USA,Patrick P. Gelsinger,Information Technology,Semiconductor Design & Manufacturing,54.2,124800,C038,Altera,2015,16.7,C039,Mobileye (spun out),None,C017,AMD,x86 Competition,Core Ultra|Xeon Scalable|Intel Arc GPU|Gaudi 3 AI Accelerator,x86 ISA|Intel Foundry (IFS)|Integrated GPU,INTC,NASDAQ,135,None,16.5,None,Intel Products|Intel Foundry
C016,Advanced Micro Devices Inc.,AMD,1969,Jerry Sanders|John Carey|Jack Gifford,Santa Clara CA USA,Lisa T. Su,Information Technology,Semiconductor Design,22.7,26000,C040,Xilinx,2022,35.0,None,None,C006,NVIDIA,GPU Competition,Ryzen|EPYC|Radeon RX 7900|Instinct MI300X|RDNA 4,x86 CPU|CDNA GPU Architecture|Infinity Fabric Interconnect,AMD,NASDAQ,260,None,5.9,None,Data Center|Client|Gaming|Embedded
C017,Qualcomm Incorporated,Qualcomm,1985,Irwin M. Jacobs|Harvey P. White|Adelia A. Coffman|Andrew J. Viterbi|Harvey Levin|Klein Gilhousen,San Diego CA USA,Cristiano R. Amon,Information Technology,Semiconductor Design,35.8,51000,None,None,None,None,C001|C007,Apple|Samsung,Chip Supply,Snapdragon 8 Gen 3|Snapdragon X Elite|Oryon CPU|Hexagon NPU,5G Modem|Mobile SoC|On-Device AI (QNN),QCOM,NASDAQ,175,None,9.2,140000,QCT (Chips)|QTL (Licensing)
C018,Salesforce Inc.,Salesforce,1999,Marc R. Benioff|Parker Harris|Dave Moellenhoff|Frank Dominguez,San Francisco CA USA,Marc R. Benioff,Information Technology,CRM & Enterprise SaaS,34.9,79000,C041,Slack Technologies,2021,27.7,C042,Informatica,None,C002,Microsoft,Partner Ecosystem,Salesforce CRM|Sales Cloud|Service Cloud|Einstein Copilot|MuleSoft|Slack,SaaS CRM|AI (Einstein)|Integration Platform,CRM,NYSE,250,None,5.5,None,Sales|Service|Platform|Data|Marketing & Commerce
