PaperID,Title,Authors,Year,Venue,DOI,Domain,Keywords,Institution,Country,CitationCount,ReferencedBy,FundingAgency,Abstract,OpenAccess,CodeAvailable
P001,Attention Is All You Need,Ashish Vaswani|Noam Shazeer|Niki Parmar|Jakob Uszkoreit|Llion Jones|Aidan N. Gomez|Lukasz Kaiser|Illia Polosukhin,2017,NeurIPS,10.48550/arXiv.1706.03762,Natural Language Processing,transformer|self-attention|multi-head attention|encoder-decoder,Google Brain|Google Research,USA,95000,P002|P003|P009|P015,Google,We propose a new simple network architecture the Transformer based solely on attention mechanisms dispensing with recurrence and convolutions entirely achieving state-of-the-art on machine translation.,Yes,Yes
P002,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin|Ming-Wei Chang|Kenton Lee|Kristina Toutanova,2018,NAACL,10.48550/arXiv.1810.04805,Natural Language Processing,BERT|bidirectional|pre-training|fine-tuning|masked language model,Google AI Language,USA,82000,P003|P015|P016,Google,We introduce BERT designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.,Yes,Yes
P003,Language Models are Few-Shot Learners (GPT-3),Tom Brown|Benjamin Mann|Nick Ryder|Melanie Subbiah|Jared Kaplan|Prafulla Dhariwal|Arvind Neelakantan|Pranav Shyam,2020,NeurIPS,10.48550/arXiv.2005.14165,Natural Language Processing,GPT-3|few-shot|in-context learning|large language model|scaling,OpenAI,USA,44000,P012|P014|P016|P024,OpenAI,We demonstrate that scaling up language models greatly improves task-agnostic few-shot performance sometimes even matching fine-tuned models.,Yes,No
P004,Deep Residual Learning for Image Recognition,Kaiming He|Xiangyu Zhang|Shaoqing Ren|Jian Sun,2016,CVPR,10.1109/CVPR.2016.90,Computer Vision,ResNet|residual connections|skip connections|image classification|deep learning,Microsoft Research Asia,China,105000,P005|P007|P011,Microsoft Research Asia,We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously winning ILSVRC 2015.,Yes,Yes
P005,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),Alex Krizhevsky|Ilya Sutskever|Geoffrey E. Hinton,2012,NeurIPS,10.1145/3065386,Computer Vision,AlexNet|CNN|ImageNet|GPU training|ReLU|dropout,University of Toronto,Canada,90000,P004|P010,NSERC,We trained a large deep convolutional neural network to classify the 1.2 million images in ImageNet into 1000 classes achieving top-5 error of 15.3%.,Yes,No
P006,Generative Adversarial Networks,Ian Goodfellow|Jean Pouget-Abadie|Mehdi Mirza|Bing Xu|David Warde-Farley|Sherjil Ozair|Aaron Courville|Yoshua Bengio,2014,NeurIPS,10.48550/arXiv.1406.2661,Generative Models,GAN|generator|discriminator|adversarial training|generative model,Université de Montréal,Canada,67000,P013|P021,NSERC|CIFAR,We propose a new framework for estimating generative models via an adversarial process simultaneously training a generative model and a discriminative model.,Yes,Yes
P007,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale (ViT),Alexey Dosovitskiy|Lucas Beyer|Alexander Kolesnikov|Dirk Weissenborn|Xiaohua Zhai|Thomas Unterthiner,2021,ICLR,10.48550/arXiv.2010.11929,Computer Vision,ViT|vision transformer|patch embedding|image classification,Google Research|Google Brain,Switzerland|USA,22000,P001|P004,Google,We show that a pure transformer applied directly to sequences of image patches can perform very well on image classification tasks.,Yes,Yes
P008,Playing Atari with Deep Reinforcement Learning (DQN),Volodymyr Mnih|Koray Kavukcuoglu|David Silver|Alex Graves|Ioannis Antonoglou|Daan Wierstra|Martin Riedmiller,2013,NeurIPS Workshop,10.48550/arXiv.1312.5602,Reinforcement Learning,DQN|Q-learning|Atari|experience replay|target network,DeepMind,UK,16000,P009|P022,DeepMind,We present the first deep learning model to successfully learn control policies directly from high-dimensional sensory input using reinforcement learning.,Yes,Yes
P009,Mastering the Game of Go with Deep Neural Networks and Tree Search (AlphaGo),David Silver|Aja Huang|Chris J. Maddison|Arthur Guez|Laurent Sifre|George van den Driessche,2016,Nature,10.1038/nature16961,Reinforcement Learning,AlphaGo|Monte Carlo tree search|policy network|value network|Go,DeepMind,UK,12000,P008|P022,DeepMind,We introduce a new approach to computer Go that uses value networks and policy networks trained using a combination of supervised and reinforcement learning from human expert games.,No,No
P010,Very Deep Convolutional Networks for Large-Scale Image Recognition (VGGNet),Karen Simonyan|Andrew Zisserman,2015,ICLR,10.48550/arXiv.1409.1556,Computer Vision,VGG|deep CNN|3x3 convolution|depth|ImageNet,University of Oxford,UK,72000,P004|P005,ERC,We investigate the effect of the convolutional network depth on its accuracy in the large-scale image recognition setting concluding depth is a critical component.,Yes,Yes
P011,Knowledge Graph Embedding by Translating on Hyperplanes (TransH),Zhen Wang|Jianwen Zhang|Jianlin Feng|Zheng Chen,2014,AAAI,10.1609/aaai.v28i1.8870,Knowledge Graphs,TransH|knowledge graph|entity embedding|relation embedding|link prediction,Peking University,China,4200,P012|P017|P018,NSFC,We propose TransH which models a relation as a hyperplane together with a translation operation on it enabling entities to play different roles for different relations.,Yes,No
P012,Translating Embeddings for Modeling Multi-relational Data (TransE),Antoine Bordes|Nicolas Usunier|Alberto Garcia-Duran|Jason Weston|Oksana Yakhnenko,2013,NeurIPS,10.5555/2999792.2999923,Knowledge Graphs,TransE|knowledge graph embedding|entity|relation|Freebase|WordNet,CNRS|Université Paris-Est,France,22000,P011|P017|P018,ANR,We consider the problem of embedding entities and relationships of multi-relational data in low-dimensional vector spaces for knowledge base completion.,Yes,No
P013,Progressive Growing of GANs for Improved Quality Stability and Variation,Tero Karras|Timo Aila|Samuli Laine|Jaakko Lehtinen,2018,ICLR,10.48550/arXiv.1710.10196,Generative Models,ProGAN|progressive training|high-resolution image synthesis|GAN stability,NVIDIA,Finland,5500,P021|P006,NVIDIA,We describe a new training methodology for generative adversarial networks starting from low resolution and progressively growing both the generator and discriminator.,Yes,Yes
P014,Scaling Laws for Neural Language Models,Jared Kaplan|Sam McCandlish|Tom Henighan|Tom B. Brown|Benjamin Chess|Rewon Child|Scott Gray|Alec Radford|Jeffrey Wu|Dario Amodei,2020,arXiv,10.48550/arXiv.2001.08361,Natural Language Processing,scaling laws|compute|parameters|data|language model,OpenAI|Johns Hopkins University,USA,8500,P003|P016,OpenAI,We study empirical scaling laws for language model performance finding smooth power laws with model size dataset size and amount of compute used for training.,Yes,No
P015,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks (RAG),Patrick Lewis|Ethan Perez|Aleksandra Piktus|Fabio Petroni|Vladimir Karpukhin|Naman Goyal|Heinrich Küttler,2020,NeurIPS,10.48550/arXiv.2005.11401,Information Retrieval,RAG|retrieval-augmented generation|open-domain QA|DPR|dense retrieval,Facebook AI Research|University College London,USA|UK,13000,P002|P016,Facebook AI Research,We explore RAG models which combine pre-trained parametric and non-parametric memory for language generation showing strong performance on knowledge-intensive tasks.,Yes,Yes
P016,Training Language Models to Follow Instructions with Human Feedback (InstructGPT),Long Ouyang|Jeff Wu|Xu Jiang|Diogo Almeida|Carroll Wainwright|Pamela Mishkin|Chong Zhang|Sandhini Agarwal,2022,NeurIPS,10.48550/arXiv.2203.02155,Natural Language Processing,RLHF|instruction following|alignment|PPO|reward model,OpenAI,USA,10000,P003|P024|P025,OpenAI,We show that by fine-tuning language models with human feedback we can significantly improve their ability to follow instructions across a wide range of tasks.,Yes,No
P017,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,Zhiqing Sun|Zhi-Hong Deng|Jian-Yun Nie|Jian Tang,2019,ICLR,10.48550/arXiv.1902.10197,Knowledge Graphs,RotatE|complex space|rotation|knowledge graph|link prediction,Mila|Université de Montréal,Canada,3800,P012|P018,NSERC,We propose RotatE which defines each relation as a rotation from the source entity to the target entity in the complex vector space.,Yes,Yes
P018,Graph Neural Networks: A Review of Methods and Applications,Jie Zhou|Ganqu Cui|Shengding Hu|Zhengyan Zhang|Cheng Yang|Zhiyuan Liu|Lifeng Wang|Changcheng Li|Maosong Sun,2020,AI Open,10.1016/j.aiopen.2021.01.001,Graph Learning,GNN|graph neural network|message passing|node classification|graph classification,Tsinghua University,China,9500,P011|P012|P017|P019,NSFC|Ministry of Education China,We provide a review of GNNs describing various methods from spectral domain and spatial domain approaches and discussing applications in various fields.,Yes,No
P019,Semi-Supervised Classification with Graph Convolutional Networks (GCN),Thomas N. Kipf|Max Welling,2017,ICLR,10.48550/arXiv.1609.02907,Graph Learning,GCN|graph convolution|semi-supervised|node classification,University of Amsterdam,Netherlands,32000,P018|P020,NWO,We present a scalable approach for semi-supervised classification of nodes in a graph using an efficient layer-wise propagation rule based on a first-order approximation of spectral convolutions.,Yes,Yes
